word,translation,source_language,target_language
tart apple,терпкое яблоко,en,ru
coat,пальто,en,ru
skirt,юбка,en,ru
to bear scrutiny,проходить тщательное исследование,en,ru
pursuant to,в соответствии с,en,ru
proliferate fast,быстро распространяться,en,ru
greatly exaggerate,сильно преувеличивать,en,ru
t-shirt,футболка,en,ru
shirt,рубашка,en,ru
bus,автобус,en,ru
blueberry,черника,en,ru
cucumber,огурец,en,ru
carrot,морковь,en,ru
passport,заграничный пасспорт,en,ru
sojourn,пребывание,en,ru
nomadic,кочевой,en,ru
peach,персик,en,ru
cherry,вишня,en,ru
pineapple,ананас,en,ru
sneakers,кроссовки,en,ru
suit,костюм,en,ru
earrings,серьги,en,ru
hat,шляпа,en,ru
estimation,оценка,en,ru
along with,вместе с,en,ru
sublime,возвышенный,en,ru
alleviate,облегчить,en,ru
